,n,Levels,Depth,Number_of_non_zeros,lam_val,Gurobi_obj,Para_Algo_obj,Gurobi_opt_gap,Objective_Diff,Error%,Gurobi_time,ST_Para_time,BnB_Nodes,M
0,1000.0,,93.0,504.0,7.5,-5324.861197115624,-5325.4008423584255,0.014412658143646014,-0.5396452428012708,-0.0101,3600.1515106018633,1.0132447527721524,6395721.0,185.43800810824646
0,1000.0,,40.0,522.0,7.5,-5552.213267234258,-5552.21353348275,0.015003091651365118,-0.000266248492152954,-0.0,3600.0911209294572,1.0168211245909333,6140366.0,188.01990169234287
0,1000.0,,63.0,509.0,7.5,-5319.00075209478,-5319.021787974621,0.01582491311686242,-0.02103587984038313,-0.0004,3600.156825195998,1.0187017107382417,5634453.0,182.32732396818452
0,1000.0,,70.0,519.0,7.5,-5724.183893655616,-5724.940810510286,0.012557356011578542,-0.7569168546697256,-0.0132,3600.0904824566096,1.016540172509849,6134937.0,187.96998624081868
0,2000.0,,71.0,1025.0,7.5,-10481.402058660215,-10483.026002034265,0.018139657288400897,-1.6239433740502136,-0.0155,3602.575345912017,2.1301682433113456,2572911.0,259.278902294409
0,2000.0,,90.0,1022.0,7.5,-10632.46692876967,-10633.966023059591,0.02013119228438381,-1.499094289920322,-0.0141,3602.2240278320387,2.1484134141355753,2489246.0,261.06122268691854
0,2000.0,,89.0,1033.0,7.5,-10763.39832579871,-10764.099792066987,0.018357393213025177,-0.7014662682777271,-0.0065,3600.233698568307,2.1494294041767716,2217041.0,261.552369424007
0,2000.0,,115.0,980.0,7.5,-10089.746019803655,-10093.516029908124,0.021422792734017513,-3.7700101044683834,-0.0374,3600.162656565197,2.1882888190448284,2450931.0,256.92190716319624
0,2000.0,,144.0,991.0,7.5,-10047.098814048819,-10050.559410321488,0.021853213575387997,-3.460596272669136,-0.0344,3600.1519195036963,2.197017046622932,2190673.0,256.9801295934963
0,5000.0,,176.0,2477.0,7.5,-25210.031928948352,-25219.196588727955,0.022945196858736215,-9.164659779602516,-0.0364,3600.1280774101615,5.8041429203003645,835549.0,404.0447893099629
0,5000.0,,166.0,2531.0,7.5,-27133.911808459034,-27136.349454118495,0.01973161564762244,-2.4376456594618503,-0.009,3600.204785018228,5.822593444027007,800125.0,411.6569440241896
0,5000.0,,155.0,2620.0,7.5,-27725.99394458905,-27733.75053980211,0.019607510481128427,-7.756595213060791,-0.028,3600.2806387133896,5.788192031905055,712641.0,415.60548522230533
0,5000.0,,190.0,2512.0,7.5,-25192.540687961024,-25208.236561867863,0.0226038255218644,-15.695873906839552,-0.0623,3600.201347935945,5.756312949582934,834769.0,406.213019565464
0,5000.0,,260.0,2450.0,7.5,-25138.58620727279,-25147.107692867477,0.02269923660431539,-8.521485594686965,-0.0339,3601.6210187049583,5.824256689287722,764303.0,406.49411677352447
0,10000.0,,238.0,4969.0,7.5,-52118.667631088116,-52240.73915488935,0.023122449170910404,-122.07152380123443,-0.2342,3600.7068552477285,13.66158966254443,108863.0,575.9701070642822
0,10000.0,,288.0,4891.0,7.5,-49196.292853933344,-49263.48104401442,0.023443118882449685,-67.18819008107675,-0.1366,3600.587663406506,12.806160042062402,177281.0,569.6937177315535
0,10000.0,,310.0,4985.0,7.5,-52010.303317113154,-52070.31582229513,0.022078367181484072,-60.01250518197776,-0.1154,3600.5230052052066,12.876895972527564,182577.0,577.5191505578364
0,10000.0,,236.0,4985.0,7.5,-50693.9964253291,-50783.943443512966,0.024008822568210245,-89.94701818386966,-0.1774,3600.5519618950784,13.179629310965538,180576.0,574.0491850958863
