,n,Levels,Depth,Number_of_non_zeros,lam_val,Gurobi_obj_P,Para_Algo_obj,Gurobi_opt_gap_P,Gurobi_time_P,ST_Para_time,BnB_Nodes_P,M,Gurobi_obj_M,Gurobi_opt_gap_M,Objective_Diff_M,Gurobi_time_M,BnB_Nodes_M,,,,n,lam_value,Number_of_non_zeros,NZ %,Gurobi_obj_M,Para_Algo_obj,Gurobi_time_M,ST_Para_time,Gurobi_opt_gap_M,BnB_Nodes_M,Bounds(M)
0,200,,44,61,13,-438.9150316,-438.915021,0.048103659,3600.059568,0.168585731,1185441,81.59035485,-438.9150199,2.26E-06,-1.14E-06,606.6512728,7599323,,,,,,,,,,,,,,
0,200,,30,72,13,-693.5403918,-693.5403931,0.022621214,3600.031546,0.175025335,939838,82.94942129,-693.5403806,2.13E-05,-1.24E-05,556.8447761,3400667,,,,,,,,,,,,,,
0,200,,39,69,13,-534.369335,-534.369326,0.041800083,3600.03736,0.168079924,1370109,79.67365637,-534.3693229,0.008677991,-3.12E-06,3600.04495,37669830,,,,,,,,,,,,,,
0,200,,31,23,25,-137.4133994,-137.4133964,0,1240.519011,0.15141178,509227,84.36851237,-137.4133962,0,-2.11E-07,20.02088044,237222,,,,,,,,,,,,,,
0,200,,46,18,25,-86.70441732,-86.70441057,0.174513754,3600.055036,0.159552553,1515525,81.44316366,-86.70437006,1.46E-06,-4.05E-05,98.57293575,1166718,,,,,,,,,,,,,,
0,200,,38,34,25,-166.5185994,-166.5185886,0.21124704,3600.042393,0.156448858,1647419,84.67796911,-166.5185298,1.33E-05,-5.88E-05,1757.09558,21645882,,,,,,,,,,,,,,
0,200,,23,21,25,-102.2976965,-102.2976898,0.404753872,3600.070547,0.163771479,1046460,88.85152145,-102.2976896,7.79E-10,-2.28E-07,2158.898228,21321295,,,,,,,,,,,,,,
0,200,,33,19,25,-92.68381043,-92.68380621,0.213098989,3600.112458,0.163485995,1616933,84.47666909,-92.68380546,1.50E-10,-7.48E-07,196.7323732,2629954,,,,,,,,,,,,,,
0,200,,39,0,50,0,0,0,0.437217115,0.160568101,13,78.24619794,-1.84E-10,0,1.84E-10,0.743704463,3,,,,,,,,,,,,,,
0,200,,23,0,50,0,0,0,0.421262788,0.157248178,11,80.67898278,-7.19E-10,0,7.19E-10,0.795106417,5,,,,,,,,,,,,,,
0,200,,38,0,50,0,0,0,1.330780964,0.158401698,19,84.75707556,0,0,0,0.471101168,15,,,,,,,,,,,,,,
0,200,,40,0,50,0,0,0,0.332675152,0.156468707,89,78.10505095,-4.12E-10,0,4.12E-10,0.665867964,5,,,,,,,,,,,,,,
0,200,,28,0,50,0,0,0,0.461473309,0.157841492,13,82.09396902,0,0,0,0.473151788,6,,,,,,,,,,,,,,
